day,asia_kz,early_skip,early_bias,reason,scenario,target_direction,ensemble_mode,clusters,picked_clusters,potential_trades,executed_trades,detector_raw.cb_vp,detector_raw.mfvg_s,detector_raw.svwap_sh,detector_raw.iib_c,detector_raw.wtr,detector_accepted.cb_vp,detector_accepted.mfvg_s,detector_accepted.svwap_sh,detector_accepted.iib_c,detector_accepted.wtr,detector_cb_vp_raw,detector_cb_vp_acc,detector_cb_vp_avg_raw,detector_cb_vp_avg_acc,detector_mfvg_s_raw,detector_mfvg_s_acc,detector_mfvg_s_avg_raw,detector_mfvg_s_avg_acc,detector_svwap_sh_raw,detector_svwap_sh_acc,detector_svwap_sh_avg_raw,detector_svwap_sh_avg_acc,detector_iib_c_raw,detector_iib_c_acc,detector_iib_c_avg_raw,detector_iib_c_avg_acc,detector_wtr_raw,detector_wtr_acc,detector_wtr_avg_raw,detector_wtr_avg_acc,orientation_skips
2024-01-02,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-03,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-04,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-07,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-09,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-10,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-11,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-14,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-15,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-16,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-17,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-18,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-23,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-24,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-25,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-28,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-30,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-04,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-05,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-06,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-08,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-11,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-12,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-13,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-14,True,False,,,single_side_low_in_kz,LONG,confluence,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.28405621269669024,0.28405621269669024,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,
2024-02-15,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-18,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-19,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-20,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-21,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-22,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-25,True,False,low_takeout,,both_in_kz_bias=low_takeout,LONG,confluence,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.0,5.0,0.10517331684865212,0.10517331684865212,0.0,0.0,,,0.0,0.0,,,
