side,day,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,result
long,01-04 Thu,03:56,03:57,1.0955100,1.0954634,1.0954634,1.0955800,sl
long,01-29 Mon,01:01,01:11,1.0840300,1.0842201,1.0839034,1.0842201,tp
short,01-31 Wed,02:48,02:53,1.0807700,1.0811767,1.0811767,1.0801600,sl
short,03-05 Tue,02:46,02:48,1.0843700,1.0842100,1.0844767,1.0842100,tp
short,03-19 Tue,01:05,01:11,1.0862401,1.0865201,1.0865201,1.0858200,sl
long,04-04 Thu,01:02,01:05,1.0843101,1.0843900,1.0842567,1.0843900,tp
long,04-09 Tue,02:01,02:02,1.0859600,1.0859534,1.0859534,1.0859700,sl
short,06-06 Thu,01:02,01:03,1.0887100,1.0886700,1.0887366,1.0886700,tp
long,07-08 Mon,01:03,01:05,1.0829901,1.0827634,1.0827634,1.0833300,sl
long,07-15 Mon,01:02,02:19,1.0893900,1.0890834,1.0890834,1.0898499,sl
short,07-24 Wed,03:31,03:32,1.0836101,1.0836901,1.0836901,1.0834900,sl
short,07-31 Wed,01:12,01:31,1.0824000,1.0821700,1.0825533,1.0821700,tp
long,10-03 Thu,02:38,02:47,1.1036500,1.1039500,1.1034499,1.1039500,tp
long,10-28 Mon,03:55,03:56,1.0818400,1.0819200,1.0817867,1.0819200,tp
short,11-06 Wed,01:31,01:32,1.0716000,1.0718066,1.0718066,1.0712900,sl
short,11-12 Tue,03:31,03:33,1.0617501,1.0621901,1.0621901,1.0610900,sl
short,11-25 Mon,03:00,04:00,1.0450500,1.0467500,1.0467500,1.0425000,sl
long,11-26 Tue,03:54,04:01,1.0488200,1.0496401,1.0482733,1.0496401,tp
long,12-03 Tue,02:33,02:34,1.0509501,1.0507501,1.0507501,1.0512500,sl
